pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
K2-229 c,Transit,8.32834000,0.00045000,-0.00045000,0,21.30000,,,1
K2-66 b,Transit,5.06963000,0.00081000,-0.00081000,0,21.30000,3.60000,-3.60000,0
Kepler-54 b,Transit,8.01100000,,,0,21.50000,5.60000,-4.90000,0
Kepler-245 d,Transit,36.27600000,,,0,21.60000,16.60000,-12.10000,0
K2-100 b,Transit,1.67390350,0.00000040,-0.00000040,0,21.80000,6.20000,-6.20000,0
Kepler-109 c,Transit,21.22270000,,,0,21.80000,,,1
TOI-1338 b,Transit,95.17400000,0.03500000,-0.03500000,0,21.80000,0.90000,-0.90000,1
Kepler-409 b,Transit,68.95840000,,,0,22.00000,,,1
WASP-47 e,Transit,0.78959700,0.00001300,-0.00001300,0,22.00000,,,1
GJ 436 b,Radial Velocity,2.64388312,0.00000057,-0.00000057,0,22.10000,2.30000,-2.30000,0
Kepler-56 b,Transit,10.50160000,0.00110000,-0.00100000,0,22.10000,3.90000,-3.60000,0
AU Mic c,Transit,18.85901900,0.00000160,-0.00000160,0,22.20000,6.70000,-6.70000,0
BD+20 594 b,Transit,41.68550000,0.00300000,-0.00300000,0,22.24810,9.53490,-9.53490,0
HAT-P-26 b,Transit,4.23452000,0.00001500,-0.00001500,0,22.24810,6.35660,-6.35660,0
TOI-132 b,Transit,2.10970190,0.00001200,-0.00001100,0,22.40000,1.90000,-1.92000,0
Kepler-19 d,Radial Velocity,62.95000000,0.04000000,-0.30000000,0,22.50000,1.20000,-5.60000,0
GJ 143 b,Transit,35.61253000,0.00060000,-0.00062000,0,22.70000,2.20000,-1.90000,0
Kepler-189 c,Transit,20.13500000,,,0,22.70000,17.10000,-10.60000,0
Kepler-176 c,Transit,12.75900000,,,0,23.00000,13.50000,-8.00000,0
GJ 436 b,Radial Velocity,2.64386000,0.00003000,-0.00003000,0,23.10000,0.90000,-0.90000,0
Kepler-30 d,Transit,143.34394000,0.00858000,-0.00858000,0,23.10000,2.70000,-2.70000,0
Kepler-60 b,Transit,7.13100000,,,0,23.10000,11.80000,-6.80000,0
GJ 436 b,Radial Velocity,2.64389788,0.00000010,-0.00000010,0,23.13802,0.76279,-0.76279,0
GJ 436 b,Radial Velocity,2.64385000,,,0,23.16880,0.79450,-0.79450,0
GJ 436 b,Radial Velocity,2.60000000,,,0,23.20100,,,0
GJ 436 b,Radial Velocity,2.64389524,0.00000076,-0.00000076,0,23.42407,1.71628,-1.71628,0
HATS-38 b,Transit,4.37502100,0.00001000,-0.00001000,0,23.51942,3.49613,-3.49613,0
Kepler-215 d,Transit,30.86400000,,,0,23.60000,17.30000,-11.90000,0
TOI-674 b,Transit,1.97714300,0.00000300,-0.00000300,0,23.60000,3.30000,-3.30000,0
Kepler-4 b,Transit,3.21365800,0.00003800,-0.00003800,0,23.83725,4.13179,-3.49613,0
KOI-984 c,Transit Timing Variations,8.59990000,0.00040000,-0.00040000,0,24.00000,2.00000,-2.00000,0
Kepler-226 b,Transit,3.94100000,,,0,24.00000,11.80000,-10.10000,0
HD 18599 b,Transit,4.13743540,0.00000360,-0.00000370,0,24.10000,7.10000,-7.70000,0
Kepler-231 c,Transit,19.27100000,,,0,24.10000,13.50000,-11.20000,0
Kepler-4 b,Transit,3.21346000,0.00022000,-0.00022000,0,24.47200,3.81400,-3.81400,0
K2-25 b,Transit,3.48456408,0.00000060,-0.00000050,0,24.50000,5.70000,-5.20000,0
K2-292 b,Transit,16.98410000,0.00080000,-0.00080000,0,24.50000,4.40000,-4.40000,0
Kepler-25 c,Transit,12.72040000,,,0,24.60000,5.70000,-5.70000,0
Kepler-83 d,Transit,5.17000000,,,0,24.60000,19.70000,-16.30000,0
TOI-1272 b,Transit,3.31599000,0.00002000,-0.00002000,0,24.60000,2.30000,-2.30000,0
Kepler-11 g,Transit,118.38070000,0.00100000,-0.00060000,0,25.00000,,,1
Kepler-11 g,Transit,118.38030000,0.00438000,-0.00396000,0,25.13000,49.37000,-19.61000,0
Kepler-276 c,Transit,31.88400000,,,0,25.20000,15.50000,-10.10000,0
Kepler-33 f,Transit,41.02800000,,,0,25.20000,13.90000,-10.20000,0
LP 890-9 c,Transit,8.45746300,0.00002400,-0.00002400,0,25.30000,,,1
GJ 436 b,Radial Velocity,2.64389803,0.00000027,-0.00000025,0,25.40000,2.10000,-2.00000,0
GJ 436 b,Radial Velocity,2.64389803,0.00000026,-0.00000026,0,25.40000,2.10000,-2.00000,0
HD 18599 b,Transit,4.13743700,0.00000400,-0.00000400,0,25.50000,4.60000,-4.60000,0
K2-19 c,Transit,11.90715000,0.00150000,-0.00150000,0,25.60000,7.10000,-7.10000,0
Kepler-411 b,Transit,3.00515600,0.00000200,-0.00000200,0,25.60000,2.60000,-2.60000,0
HAT-P-11 b,Transit,4.88781620,0.00000710,-0.00000710,0,25.74300,2.86000,-2.86000,0
K2-24 c,Transit,42.36330000,0.00060000,-0.00060000,0,26.00000,5.80000,-6.10000,0
TOI-2196 b,Transit,1.19472680,0.00000790,-0.00000930,0,26.00000,1.30000,-1.30000,0
TOI-1694 b,Transit,3.77015000,0.00010000,-0.00010000,0,26.10000,2.20000,-2.20000,0
Kepler-411 c,Transit,7.83443500,0.00000200,-0.00000200,0,26.40000,5.90000,-5.90000,0
Kepler-65 c,Transit,5.86000000,,,0,26.60000,20.40000,-18.50000,0
TOI-2525 b,Transit,23.28560000,0.00170000,-0.00170000,0,26.69759,1.58914,-1.58914,0
HAT-P-11 b,Transit,4.88781501,0.00000068,-0.00000068,0,26.69772,2.22481,-2.22481,0
TOI-1728 b,Transit,3.49151000,0.00006200,-0.00005700,0,26.78000,5.43000,-5.13000,0
EPIC 211945201 b,Transit,19.49213000,0.00001000,-0.00001000,0,27.00000,14.00000,-12.60000,0
K2-10 b,Transit,19.30440000,0.00120000,-0.00120000,0,27.00000,17.00000,-16.00000,0
K2-24 c,Transit,42.36330000,0.00060000,-0.00060000,0,27.00000,6.90000,-6.90000,0
HD 152843 c,Transit,24.38000000,6.23000000,-3.40000000,0,27.50000,,,1
Kepler-122 e,Transit,38.00000000,,,0,27.70000,11.40000,-9.80000,0
CoRoT-24 c,Transit,11.75900000,0.00630000,-0.00630000,0,28.00000,11.00000,-11.00000,0
Kepler-333 b,Transit,12.55100000,,,0,28.20000,29.00000,-24.10000,0
TOI-1710 b,Transit,24.28342900,0.00004300,-0.00004300,0,28.30000,4.70000,-4.70000,0
K2-19 b,Transit,7.91940000,0.00005000,-0.00005000,0,28.50000,5.40000,-5.00000,0
Kepler-328 b,Transit,34.92100000,,,0,28.50000,12.90000,-12.30000,0
HAT-P-11 b,Transit,4.88782000,0.00000700,-0.00000700,0,28.60470,3.17830,-3.17830,0
K2-39 b,Transit,4.60543000,0.00046000,-0.00046000,0,28.60470,15.89150,-15.89150,0
K2-27 b,Transit,6.77145000,0.00013000,-0.00013000,0,29.10000,7.50000,-7.40000,0
NGTS-14 A b,Transit,3.53571730,0.00000690,-0.00000690,0,29.24036,3.81396,-3.81396,0
LTT 9779 b,Transit,0.79205200,0.00000930,-0.00000930,0,29.32000,0.78000,-0.81000,0
Kepler-31 c,Transit,42.63200000,,,0,29.50000,9.60000,-7.00000,0
Kepler-117 b,Transit,18.79592280,0.00000750,-0.00000750,0,29.87500,10.48800,-10.48800,0
Kepler-9 c,Transit,38.98610000,0.00047000,-0.00048000,0,29.87500,0.63600,-0.63600,0
Kepler-414 c,Transit Timing Variations,7.17100000,,,0,29.90000,12.40000,-10.50000,0
Kepler-9 c,Transit,38.96900000,,,0,29.90000,1.80000,-2.30000,0
Kepler-9 c,Transit,38.98530000,0.00030000,-0.00030000,0,29.90000,1.10000,-1.30000,0
K2-105 b,Transit,8.26690200,0.00007000,-0.00007000,0,30.00000,19.00000,-19.00000,0
TOI-216.02,Transit,17.08900000,0.01100000,-0.01500000,0,30.00000,20.00000,-14.00000,0
WASP-107 b,Transit,5.72147420,,,0,30.50000,1.70000,-1.70000,0
Kepler-338 b,Transit,13.72700000,,,0,30.60000,24.20000,-21.10000,0
GJ 143 b,Transit,35.58900000,0.00600000,-0.00500000,0,30.63000,2.63000,-2.67000,0
Kepler-128 b,Transit,15.09000000,,,0,30.70000,6.00000,-6.00000,0
LP 714-47 b,Transit,4.05203700,0.00000400,-0.00000400,0,30.80000,1.50000,-1.50000,0
K2-27 b,Transit,6.77131500,0.00008500,-0.00008500,0,30.90000,4.60000,-4.60000,0
HATS-37 A b,Transit,4.33153660,0.00000410,-0.00000410,0,31.46517,13.34886,-13.34886,0
Kepler-56 b,Transit,10.50100000,,,0,32.00000,11.20000,-0.50000,0
WASP-166 b,Transit,5.44354000,0.00000400,-0.00000400,0,32.10083,1.58915,-1.58915,0
K2-98 b,Transit,10.13675000,0.00033000,-0.00033000,0,32.20000,8.10000,-8.10000,0
K2-19 b,Transit,7.92220000,0.00010000,-0.00010000,0,32.40000,1.70000,-1.70000,0
TOI-1338 b,Transit,95.17400000,0.03100000,-0.03500000,0,33.00000,20.30000,-19.60000,0
Kepler-128 c,Transit,22.80400000,,,0,33.30000,3.30000,-3.30000,0
Kepler-24 b,Transit,8.14500000,,,0,33.30000,10.80000,-8.10000,0
Kepler-24 c,Transit,12.33300000,,,0,33.60000,13.00000,-9.50000,0
Kepler-203 d,Transit,11.33000000,,,0,33.90000,183.40000,-33.20000,0
Kepler-58 b,Transit,10.21900000,,,0,34.90000,20.90000,-14.50000,0
HD 89345 b,Transit,11.81430000,0.00020000,-0.00020000,0,34.96130,5.40311,-5.72094,0
K2-32 d,Transit,31.71922000,0.00236000,-0.00236000,0,35.00000,,,1
KOI-94 e,Transit,54.32031000,0.00012000,-0.00012000,0,35.00000,18.00000,-28.00000,0
Kepler-62 f,Transit,267.29100000,0.00500000,-0.00500000,0,35.00000,,,1
Kepler-231 b,Transit,10.06500000,,,0,35.40000,19.70000,-16.60000,0
Kepler-53 c,Transit,38.55800000,,,0,35.50000,19.00000,-14.80000,0
Kepler-58 b,Transit,10.21849540,0.00015000,-0.00015000,0,35.50000,,,1
HD 89345 b,Transit,11.81399000,0.00086000,-0.00086000,0,35.70000,3.30000,-3.30000,0
Kepler-183 c,Transit,11.63700000,,,0,35.70000,30.90000,-24.20000,0
Kepler-122 f,Transit Timing Variations,56.26800000,,,0,36.00000,19.40000,-16.20000,0
Kepler-22 b,Transit,289.86230000,0.00160000,-0.00200000,0,36.00000,,,1
Kepler-53 c,Transit,38.55830380,0.00041000,-0.00041000,0,36.00000,,,1
Kepler-62 e,Transit,122.38740000,0.00080000,-0.00080000,0,36.00000,,,1
Kepler-103 c,Transit,179.61200000,,,0,36.10000,25.20000,-25.20000,0
Kepler-128 c,Transit,22.80100000,,,0,37.00000,37.20000,-25.80000,0
TOI-942 c,Transit,10.16050000,0.00560000,-0.00530000,0,37.00000,,,1
K2-280 b,Transit,19.89526000,0.00028000,-0.00028000,0,37.10000,5.60000,-5.60000,0
Kepler-145 b,Transit,22.95100000,,,0,37.10000,11.60000,-11.60000,0
WASP-139 b,Transit,5.92426200,0.00000400,-0.00000400,0,37.18611,5.40311,-5.40311,0
WASP-132 c,Transit,1.01153400,0.00000500,-0.00000500,0,37.35000,,,1
Kepler-279 d,Transit,54.41400000,,,0,37.50000,5.50000,-4.50000,0
WASP-107 b,Transit,5.72149242,0.00000046,-0.00000046,0,37.82177,4.44962,-4.44962,0
Kepler-267 b,Transit,3.35400000,,,0,37.90000,21.30000,-17.90000,0
HATS-7 b,Transit,3.18531500,0.00000540,-0.00000540,0,38.13960,3.81396,-3.81396,0
WASP-107 b,Transit,5.72149000,0.00000200,-0.00000200,0,38.13960,3.17830,-3.17830,0
WASP-107 b,Transit,5.72147420,0.00000430,-0.00000430,0,38.13960,3.17830,-3.17830,0
HD 89345 b,Transit,11.81430000,0.00020000,-0.00019000,0,38.45743,5.72094,-6.03877,0
TOI-849 b,Transit,0.76552414,0.00000262,-0.00000279,0,39.09000,2.66000,-2.55000,0
HATS-7 b,Transit,3.18531500,0.00000540,-0.00000540,0,39.09309,4.44962,-4.44962,0
Kepler-328 c,Transit,71.31200000,,,0,39.40000,13.60000,-12.60000,0
Kepler-277 c,Transit,33.00600000,,,0,39.60000,53.60000,-36.40000,0
K2-39 b,Transit,4.60497000,0.00077000,-0.00077000,0,39.80000,4.40000,-4.40000,0
HATS-72 b,Transit,7.32794740,0.00000160,-0.00000160,0,39.85588,1.23954,-1.23954,0
Kepler-114 c,Transit,8.04100000,,,0,40.00000,13.20000,-11.40000,0
Kepler-84 b,Transit,8.72600000,,,0,40.00000,13.70000,-10.30000,0
Kepler-35 b,Transit,131.45800000,0.07700000,-0.10500000,0,40.36300,6.35600,-6.35600,0
WASP-156 b,Transit,3.83616900,0.00000300,-0.00000300,0,40.68224,3.17830,-2.86047,0
TOI-1670 b,Transit,10.98462000,0.00046000,-0.00051000,0,41.31769,,,1
Kepler-27 b,Transit,15.33500000,,,0,41.80000,5.00000,-5.90000,0
TOI-1288 b,Transit,2.69983500,0.00000400,-0.00000300,0,42.00000,3.00000,-3.00000,0
Kepler-297 c,Transit,74.92400000,,,0,42.10000,14.10000,-9.30000,0
Kepler-83 b,Transit,9.77100000,,,0,42.10000,24.90000,-20.90000,0
HD 95338 b,Radial Velocity,55.08700000,0.02000000,-0.02000000,0,42.44000,2.22000,-2.08000,0
Kepler-128 b,Transit,15.09000000,,,0,42.70000,14.30000,-12.30000,0
Kepler-129 c,Transit,82.20000000,,,0,43.00000,13.00000,-12.00000,0
Kepler-55 b,Transit,27.95000000,,,0,43.00000,37.20000,-18.00000,0
Kepler-9 b,Transit,19.23891000,0.00006000,-0.00006000,0,43.40000,1.60000,-2.00000,0
Kepler-9 b,Transit,19.24300000,,,0,43.50000,2.70000,-3.30000,0
Kepler-9 b,Transit,19.23876000,0.00007000,-0.00007000,0,43.54100,0.63600,-0.63600,0
TOI-257 b,Transit,18.38818000,0.00085000,-0.00084000,0,43.86032,7.31005,-7.31005,0
HATS-8 b,Transit,3.58389300,0.00001000,-0.00001000,0,43.86054,6.03877,-6.03877,0
Kepler-9 b,Transit,19.22590000,0.00004600,-0.00004600,0,43.98767,0.47674,-0.47674,0
K2-19 b,Transit,7.92110100,0.00006900,-0.00006900,0,44.00000,12.00000,-12.00000,0
Kepler-326 b,Transit,2.24800000,,,0,44.60000,47.70000,-33.30000,0
55 Cnc f,Radial Velocity,262.00000000,0.51000000,-0.51000000,0,44.81200,3.81400,-3.81400,0
Kepler-226 c,Transit,5.35000000,,,0,45.20000,22.50000,-19.10000,0
Kepler-52 c,Transit,16.38500210,0.00014000,-0.00014000,0,45.40000,,,1
HATS-8 b,Transit,3.58389300,0.00001000,-0.00001000,0,46.08535,8.26358,-8.26358,0
TOI-181 b,Transit,4.53200000,0.00000200,-0.00000200,0,46.16870,2.71000,-7.83000,0
55 Cnc f,Radial Velocity,260.91000000,0.36000000,-0.36000000,0,47.00510,6.96020,-2.95570,0
WASP-182 b,Transit,3.37698480,0.00000240,-0.00000240,0,47.03884,3.49613,-3.49613,0
CoRoTID 223977153 b,Transit,6.71837000,0.00001000,-0.00001000,0,47.67450,31.78300,-31.78300,0
Kepler-1656 b,Transit,31.56200000,0.01100000,-0.01100000,0,47.80000,6.20000,-3.30000,0
Kepler-297 b,Transit,38.86800000,,,0,48.50000,11.20000,-7.00000,0
Kepler-1656 b,Transit,31.57865900,,,0,48.60000,4.20000,-3.80000,0
TOI-1696 b,Transit,2.50031100,0.00000400,-0.00000400,0,48.80000,,,1
Kepler-279 c,Transit,35.73600000,,,0,49.40000,7.20000,-5.90000,0
K2-39 b,Transit,4.60543000,0.00046000,-0.00046000,0,50.30000,9.70000,-9.40000,0
Kepler-82 b,Transit,26.44400000,,,0,51.00000,9.20000,-7.60000,0
Kepler-101 b,Transit,3.48768120,0.00000700,-0.00000700,0,51.10000,5.10000,-4.70000,0
KOI-94 d,Transit,22.34297040,0.00000360,-0.00000360,0,52.10000,6.90000,-7.10000,0
WASP-127 b,Transit,4.17806203,0.00000088,-0.00000053,0,52.34660,6.80156,-5.46668,0
Kepler-58 c,Transit,15.57415680,0.00027000,-0.00027000,0,53.00000,,,1
Kepler-462 b,Transit,84.68660000,0.00070000,-0.00100000,0,53.90000,104.60000,-23.80000,0
Kepler-79 b,Transit,13.48500000,,,0,54.10000,22.20000,-15.10000,0
Kepler-9 c,Transit,38.91000000,,,0,54.34700,4.13200,-4.13200,0
KELT-11 b,Transit,4.73610000,0.00003000,-0.00003000,0,54.34893,4.76745,-4.76745,0
K2-19 b,Transit,7.91951000,0.00040000,-0.00012000,0,54.40000,8.90000,-8.90000,0
55 Cnc c,Radial Velocity,44.41750000,0.00730000,-0.00730000,0,54.47380,1.74800,-1.74800,0
HATS-46 b,Transit,4.74237290,0.00000490,-0.00000490,0,54.98459,19.70546,-19.70546,0
WASP-18 c,Transit Timing Variations,2.15580000,0.00640000,-0.00640000,0,55.20000,12.30000,-12.30000,0
Kepler-123 b,Transit,17.23200000,,,0,55.30000,31.20000,-27.80000,0
TOI-954 b,Transit,3.68497290,0.00000270,-0.00000280,0,55.30242,5.72094,-5.40311,0
TOI-3976 A b,Transit,6.60766200,0.00001600,-0.00001500,0,55.61997,11.75965,-11.44182,0
Kepler-282 e,Transit,44.34700000,,,0,56.20000,16.20000,-16.70000,0
TOI-1696 b,Transit,2.50031000,0.00002000,-0.00002000,0,56.60000,,,1
55 Cnc c,Radial Velocity,44.37300000,0.02000000,-0.01800000,0,56.69850,8.74000,-2.47900,0
HATS-62 b,Transit,3.27688370,0.00000330,-0.00000330,0,56.89157,,,0
TOI-1749 b,Transit,2.38839000,0.00031000,-0.00066000,0,57.00000,,,1
WASP-127 b,Transit,4.17806200,0.00000200,-0.00000200,0,57.20940,6.35660,-6.35660,0
Kepler-416 b,Transit Timing Variations,6.31900000,,,0,58.20000,53.40000,-39.50000,0
KOI-94 d,Transit,22.34300000,,,0,58.40000,11.90000,-0.60000,0
K2-108 b,Transit,4.73401000,0.00024000,-0.00024000,0,59.40000,4.40000,-4.40000,0
K2-261 b,Transit,11.63347800,0.00001700,-0.00001700,0,59.75174,7.94571,-7.94571,0
Kepler-23 c,Transit,10.74200000,,,0,60.20000,11.40000,-10.40000,0
HD 221416 b,Transit,14.27670000,0.00370000,-0.00370000,0,60.50000,5.70000,-5.70000,0
Kepler-282 d,Transit,24.80600000,,,0,61.00000,35.90000,-36.10000,0
TOI-532 b,Transit,2.32665080,0.00000300,-0.00000300,0,61.50000,9.70000,-9.30000,0
KELT-11 b,Transit,4.73652900,0.00006800,-0.00005900,0,61.97685,6.03877,-5.72094,0
HAT-P-18 b,Transit,5.50797800,0.00004300,-0.00004300,0,62.29468,2.54264,-2.54264,0
Kepler-37 d,Transit,39.79200000,,,0,62.50000,55.40000,-40.80000,0
HAT-P-18 b,Transit,5.50802300,0.00000600,-0.00000600,0,62.61000,4.13200,-4.13200,0
Kepler-52 c,Transit,16.38500000,,,0,62.90000,19.50000,-15.00000,0
HAT-P-18 b,Transit,5.50802300,0.00000600,-0.00000600,0,63.56600,6.03877,-6.03877,0
Kepler-30 b,Transit,29.32900000,0.02200000,-0.02200000,0,63.56600,,,1
TOI-2567 b,Transit,5.98394400,0.00001300,-0.00001300,0,63.88351,10.80617,-9.85268,0
HAT-P-12 b,Transit,3.21305992,0.00000035,-0.00000035,0,63.88383,3.49613,-3.49613,0
Kepler-277 c,Transit,33.00600000,,,0,64.20000,18.10000,-15.70000,0
WASP-126 c,Transit Timing Variations,7.63000000,0.17000000,-0.17000000,0,64.20000,24.60000,-24.60000,0
Kepler-92 b,Transit,13.74900000,,,0,64.30000,13.90000,-13.90000,0
NGTS-12 b,Transit,7.53280600,0.00004800,-0.00004800,0,66.10864,6.99226,-6.99226,0
HAT-P-12 b,Transit,3.21305929,0.00000035,-0.00000035,0,66.23577,3.05117,-2.98760,0
Kepler-363 c,Transit,7.54200000,,,0,66.40000,71.90000,-56.60000,0
HAT-P-12 b,Transit,3.21000000,,,0,66.74430,,,0
Kepler-413 b,Transit,66.26200000,0.02400000,-0.02100000,0,67.00000,22.00000,-21.00000,0
HAT-P-12 b,Transit,3.21305980,0.00000210,-0.00000210,0,67.05900,3.81400,-3.81400,0
HAT-P-12 b,Transit,3.21305790,0.00000040,-0.00000040,0,67.06213,3.81396,-3.81396,0
K2-261 b,Transit,11.63347800,0.00001700,-0.00001700,0,67.69745,8.26354,-8.89920,0
TOI-1842 b,Transit,9.57390000,0.00020000,-0.00010000,0,68.01528,12.71314,-12.07748,0
CoRoT-8 b,Transit,6.21229000,0.00003000,-0.00003000,0,68.65128,11.44188,-11.44188,0
TOI-2587 A b,Transit,5.45664000,0.00001100,-0.00001100,0,69.28659,17.16273,-14.62011,0
CoRoT-8 b,Transit,6.21244500,0.00000700,-0.00000700,0,69.28694,10.80622,-10.80622,0
CoRoT-8 b,Transit,6.21238100,0.00005700,-0.00005700,0,69.28694,10.48839,-13.03103,0
Kepler-55 c,Transit,42.12600000,,,0,69.80000,32.60000,-18.30000,0
CoRoT-8 b,Transit,6.21229000,0.00003000,-0.00003000,0,69.92000,9.53000,-9.53000,0
Kepler-34 b,Transit,288.82200000,0.06300000,-0.08100000,0,69.92000,3.49600,-3.17800,0
K2-261 b,Transit,11.63344000,0.00012000,-0.00012000,0,70.87609,9.85273,-9.85273,0
KOI-1783.01,Transit,134.46280000,0.00330000,-0.00350000,0,71.00000,11.20000,-9.20000,0
TOI-2364 b,Transit,4.01975170,0.00000430,-0.00000430,0,71.51139,13.66662,-15.57359,0
Kepler-425 b,Transit,3.79701816,0.00000019,-0.00000019,0,71.82958,14.62018,-14.62018,0
Kepler-25 d,Radial Velocity,122.40000000,0.80000000,-0.71000000,0,71.90000,9.80000,-9.80000,0
NGTS-5 b,Transit,3.35698660,0.00000260,-0.00000260,0,72.78307,11.75971,-11.75971,0
WASP-29 b,Transit,3.92273000,0.00000400,-0.00000400,0,73.10090,15.89150,-15.89150,0
HATS-5 b,Transit,4.76338700,0.00001000,-0.00001000,0,75.32300,3.81400,-3.91400,0
Kepler-396 b,Transit,42.99400000,,,0,75.50000,11.80000,-5.80000,0
HATS-5 b,Transit,4.76338700,0.00001000,-0.00001000,0,75.64354,4.44962,-4.44962,0
V1298 Tau c,Transit,8.24892000,0.00083000,-0.00083000,0,76.27882,,,1
HATS-48 A b,Transit,3.13166660,0.00000370,-0.00000370,0,77.23269,6.99226,-9.53490,0
WASP-29 b,Transit,3.92272700,0.00000400,-0.00000400,0,77.54700,6.35600,-6.35600,0
HD 332231 b,Transit,18.71204000,0.00043000,-0.00043000,0,77.55052,6.67443,-6.67443,0
WASP-29 b,Transit,3.92271860,0.00000680,-0.00000680,0,77.55052,6.35660,-6.35660,0
WASP-29 b,Transit,3.92271860,0.00000680,-0.00000680,0,77.86835,7.31009,-6.99226,0
Kepler-272 b,Transit,2.97100000,,,0,78.00000,93.80000,-66.90000,0
Kepler-277 b,Transit,17.32400000,,,0,78.10000,69.80000,-50.70000,0
Kepler-30 b,Transit,29.31200000,,,0,78.60000,4.60000,-8.30000,0
Kepler-145 c,Transit,42.88200000,,,0,79.40000,16.40000,-16.40000,0
Kepler-425 b,Transit,3.79701816,0.00000019,-0.00000019,0,79.45000,25.43000,-25.43000,0
TOI-2583 A b,Transit,4.52072650,0.00000490,-0.00000490,0,79.45710,18.43405,-17.79839,0
WASP-69 b,Transit,3.86813820,0.00000170,-0.00000170,0,79.45750,7.31009,-7.31009,0
Kepler-52 b,Transit,7.87700000,,,0,79.60000,47.00000,-39.60000,0
Kepler-323 c,Transit,3.55400000,,,0,79.70000,129.60000,-72.70000,0
OGLE-2007-BLG-349L AB c,Microlensing,2557.00000000,,,0,80.00000,13.00000,-13.00000,0
Kepler-9 b,Transit,19.24000000,,,0,80.09000,4.13200,-4.13200,0
Kepler-170 b,Transit,7.93100000,,,0,82.60000,67.50000,-62.40000,0
WASP-69 b,Transit,3.86813820,0.00000170,-0.00000170,0,82.63200,5.40300,-5.40300,0
TOI-3629 b,Transit,3.93655100,0.00000500,-0.00000600,0,82.63539,6.35657,-6.35657,0
K2-329 b,Transit,12.45512250,0.00000310,-0.00000310,0,82.63580,6.35660,-6.99226,0
WASP-69 b,Transit,3.86813820,0.00000170,-0.00000170,0,82.63580,5.87986,-5.87986,0
HATS-43 b,Transit,4.38884970,0.00000590,-0.00000590,0,82.95363,17.16282,-17.16282,0
HAT-P-38 b,Transit,4.64038200,0.00003200,-0.00003200,0,84.85700,6.35600,-6.35600,0
HAT-P-38 b,Transit,4.64038200,0.00003200,-0.00003200,0,84.86061,6.35660,-6.35660,0
TOI-3757 b,Transit,3.43875300,0.00000400,-0.00000400,0,85.30000,8.80000,-8.70000,0
CoRoT-25 b,Transit,4.86069000,0.00006000,-0.00006000,0,85.81000,12.71000,-12.71000,0
WASP-131 b,Transit,5.32202300,0.00000500,-0.00000500,0,85.81410,6.35660,-6.35660,0
OGLE-2006-BLG-109L c,Microlensing,4927.50000000,3540.50000000,-1752.00000000,0,86.00000,7.00000,-7.00000,0
Kepler-277 b,Transit,17.32400000,,,0,87.30000,41.70000,-39.90000,0
WASP-147 b,Transit,4.60273000,0.00002700,-0.00002700,0,87.40325,8.89924,-8.58141,0
WASP-39 b,Transit,4.05529470,0.00000097,-0.00000097,0,87.40325,13.34886,-13.66669,0
WASP-117 b,Transit,10.02165000,0.00055000,-0.00055000,0,87.55850,2.86030,-2.86030,0
WASP-117 b,Transit,10.02165000,0.00055000,-0.00055000,0,87.75286,3.14652,-3.05117,0
WASP-160 B b,Transit,3.76849520,0.00000350,-0.00000350,0,88.35674,13.98452,-14.30235,0
WASP-39 b,Transit,4.05525900,0.00000900,-0.00000900,0,88.98900,9.53500,-9.53500,0
WASP-126 b,Transit,3.28880000,0.00001000,-0.00001000,0,88.99240,12.71320,-12.71320,0
WASP-39 b,Transit,4.06000000,,,0,88.99240,,,0
WASP-39 b,Transit,4.05529410,0.00000340,-0.00000340,0,89.31023,10.17056,-10.17056,0
Kepler-25 d,Radial Velocity,123.00000000,2.00000000,-2.00000000,0,89.90000,13.70000,-13.70000,0
WASP-39 b,Transit,4.05527650,0.00000350,-0.00000350,0,89.94589,13.03103,-13.03103,0
HAT-P-19 b,Transit,4.00877800,0.00000600,-0.00000600,0,90.26372,5.08528,-5.08528,0
WASP-126 b,Transit,3.28883000,0.00003710,-0.00003710,0,90.30000,,,0
WASP-148 b,Transit,8.80380900,0.00004300,-0.00004300,0,91.21675,6.99222,-5.08525,0
Kepler-427 b,Transit,10.29099400,0.00000110,-0.00000110,0,92.17000,28.60000,-28.60000,0
WASP-69 b,Transit,3.86814000,0.00000200,-0.00000200,0,92.17070,9.53490,-9.53490,0
WASP-148 b,Transit,8.80381000,0.00004300,-0.00004300,0,92.48853,7.94575,-7.94575,0
HAT-P-19 b,Transit,4.00877800,0.00000600,-0.00000600,0,92.80200,5.72100,-5.72100,0
Kepler-427 b,Transit,10.29099400,0.00000110,-0.00000110,0,92.80636,17.16282,-17.16282,0
CoRoT-25 b,Transit,4.86069000,0.00006000,-0.00006000,0,93.12419,19.38763,-19.06980,0
WASP-21 b,Transit,4.32250600,0.00000310,-0.00000310,0,93.75985,9.53490,-9.53490,0
WASP-21 b,Transit,4.32251260,0.00000220,-0.00000220,0,94.39551,4.13179,-4.13179,0
Kepler-349 b,Transit,5.93000000,,,0,94.50000,70.80000,-60.30000,0
TOI-1296 b,Transit,3.94437150,0.00000580,-0.00000580,0,94.71287,12.39531,-12.39531,0
WASP-181 b,Transit,4.51950640,0.00000340,-0.00000340,0,95.03117,10.80622,-10.80622,0
