pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
Kepler-40,b,Transit,6.87349,0.08,0,2.2,1.68,89.7,0,296.81369,47.526608,2700,,6510,1.48,2.13,,,13.115
CoRoT-16,b,Transit,5.35227,0.0618,0.33,0.535,0.44,85.01,,278.524689,-6.002595,840,,5650,1.1,1.19,,,13.114
WASP-5,b,Transit,1.62843142,0.02702,0,1.568,1.224,85.58,,359.348991,-41.277149,300,,5700,1,1.08,,,13.081
CoRoT-6,b,Transit,8.886593,0.0855,0.1,2.96,2.32,89.07,,281.072525,6.663194,,,6090,1.05,1.02,,,13.068
WASP-18,b,Transit,0.94145299,0.02026,0.0092,10.43,8.78,86,,24.354311,-45.677887,105.49,9.303,6400,1.28,1.23,HD 10069,HIP 7562,13.059
Qatar-1,b,Transit,1.420033,0.02343,0,1.09,0.918,83.47,,303.381672,65.162041,,,4861,0.85,0.82,,,13.047
WASP-37,b,Transit,3.577469,0.0446,0,1.8,1.53,88.82,,221.943987,1.064966,343,,5800,0.93,1,,,13.002
WASP-45,b,Transit,3.1260876,0.04054,0,1.007,0.851,84.47,,5.237497,-35.99826,,,5140,0.91,0.94,,,13.002
WASP-22,b,Transit,3.5327313,0.04698,0,0.588,0.503,88.26,,52.818043,-23.819702,300,,5958,1.11,1.22,,,12.98
HAT-P-2,b,Transit,5.6334729,0.06878,0.5171,9.09,7.29,86.72,,245.151489,41.048084,135.32,8.689,6450,1.29,1.75,HD 147506,HIP 80076,12.97
WASP-50,b,Transit,1.9550959,0.02945,0.009,1.468,1.274,84.74,,43.688073,-10.89808,230,,5400,0.89,0.84,,,12.924
HD 189733,b,Radial Velocity,2.21857578,0.03142,0,1.15,1.004,85.78,,300.182129,22.710854,19.25,7.676,5040,0.84,0.75,HD 189733,HIP 98505,12.902
HAT-P-14,b,Transit,4.627669,0.0606,0.107,2.232,1.82,83.5,,260.116169,38.242165,205,,6600,1.39,1.47,,,12.89
WASP-47,b,Transit,4.1591399,0.052,0.11,1.14,0.984,89.2,,331.203033,-12.018885,200,,5350,1.08,1.15,,,12.89
Qatar-2,b,Transit,1.3371182,0.02149,0,2.487,2.208,88.3,,207.655866,-6.804028,,,4645,0.74,0.71,,,12.823
WASP-44,b,Transit,2.4238039,0.03473,0,0.889,0.811,86.02,,3.903165,-11.938115,,,5410,0.95,0.93,,,12.778
HAT-P-19,b,Transit,4.008778,0.0466,0.067,0.292,,88.2,,9.516742,34.711575,215,,4990,0.84,0.82,,,12.689
OGLE-TR-182,b,Transit,3.9791,0.051,0,1.01,,85.7,,167.327963,-61.095257,,,5924,1.14,1.14,,,12.666
