loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
3516,K2-114 b,1,1,0,2017,11.39109000,0.093090,10.559,587.98550,2.99000,719,5027.00,4.48,475.7580000
3526,K2-115 b,1,1,0,2017,20.27303400,0.136700,12.498,266.97720,0.82000,682,5560.00,4.46,413.5910000
3668,K2-139 b,1,1,0,2017,28.38236000,0.179000,9.057,123.00021,0.91000,565,5340.00,4.50,153.8560000
3677,K2-140 b,1,1,0,2017,6.56918800,0.068000,13.563,295.58042,0.66000,962,5585.00,4.40,347.9170000
3678,K2-140 b,1,1,0,2017,6.56930000,0.059100,12.274,323.86877,0.96300,1114,5654.00,4.45,347.9170000
3679,K2-141 b,1,2,0,2018,0.28032260,0.007160,1.540,5.31000,8.00000,2039,4373.00,4.58,61.8736000
3827,K2-180 b,1,1,0,2018,8.86650000,0.075000,2.242,11.44182,5.60000,729,5110.00,4.30,203.8960000
3840,K2-182 b,1,1,0,2018,4.73696830,0.052600,2.690,20.00000,5.60000,969,5170.00,4.61,154.8300000
4057,K2-216 b,1,1,0,2018,2.17480000,0.028000,1.750,8.00000,8.20000,1103,4503.00,4.57,115.4610000
4108,K2-229 b,1,2,0,2018,0.58424900,0.012888,1.164,2.59000,8.90000,1960,5185.00,4.56,102.5640000
4111,K2-229 c,1,2,0,2018,8.32834000,0.075770,2.120,21.30000,12.80000,800,5185.00,4.56,102.5640000
4117,K2-232 b,1,1,0,2018,11.16845900,0.099100,11.859,123.00021,0.40500,1001,5888.00,4.27,130.7200000
4120,K2-233 b,1,3,0,2018,2.46750000,0.033080,1.343,11.26000,26.26000,1121,5033.00,4.64,67.5062000
4122,K2-233 c,1,3,0,2018,7.06005000,0.066660,1.281,12.81000,33.91000,790,5033.00,4.64,67.5062000
4123,K2-233 d,1,3,0,2018,24.36450000,0.152240,2.358,21.14000,8.85000,523,5033.00,4.64,67.5062000
4127,K2-237 b,1,1,0,2018,2.18055770,0.035300,18.405,392.83788,0.37000,1838,6099.00,4.27,314.9950000
4130,K2-237 b,1,1,0,2018,2.18053539,0.035580,16.197,433.20012,0.56200,1828,6360.00,4.34,314.9950000
4131,K2-237 b,1,1,0,2018,2.18056000,0.037000,18.495,508.52800,0.44000,1884,6257.00,4.24,314.9950000
4132,K2-238 b,1,1,0,2018,3.20466000,0.046000,14.572,273.33380,0.56000,1587,5630.00,4.11,537.9630000
